Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL199467,COc1ccc(C(c2ccc(OCC(O)CN3CCCC3)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,'=',12.5,ug.mL-1
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',0.2,ug.mL-1
CHEMBL198691,COc1ccc(C(c2ccc(OCC(O)CNC3CC3)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,'=',25,ug.mL-1
CHEMBL360235,O=C(CN(/N=C/c1ccc(Cl)cc1)C(=O)c1ccncc1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,MIC,'>',16,ug.mL-1
CHEMBL2158082,CC1(C)CCc2c(c3ccccc3c3nc(-c4cccc(C#N)c4)oc23)O1,MIC,'=',17600,nM
CHEMBL64,NNC(=O)c1ccncc1,MIC,'>',27,ug.mL-1
CHEMBL4078950,CCc1nn2ccc(Cl)cc2c1C(=O)NCC1CCN(CC23CC4CC(CC(C4)C2)C3)CC1,MIC=>90,'>',1,ug ml-1
CHEMBL2158106,CC1(C)CCc2c(c3ccccc3c3nc(-c4ccc(C(F)(F)F)cc4)[nH]c23)O1,MIC,,,
CHEMBL2158098,CC1(C)CCc2c(c3ccccc3c3nc(-c4ccc(C#N)cc4)[nH]c23)O1,MIC,,,
CHEMBL3330226,O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,MIC>90,'<',0.035,uM
CHEMBL4067644,O=c1nc(N2CCC3(CCN(Cc4cccc(F)c4)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,MIC>90,'<',0.035,uM
CHEMBL2164534,C[C@@H]1C[C@]23CC[C@@H]4[C@](C)(CCC[C@]4(C)C(=O)O)[C@H]2CC[C@@]1(OC(=O)CCCCCCCCC(=O)O[C@]12CC[C@@H]4[C@](CC[C@H]5[C@@]4(C)CCC[C@@]5(C)C(=O)O)(C[C@@H]1C)C2)C3,MIC,'=',20,ug.mL-1
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',0.05,ug.mL-1
CHEMBL380277,Oc1[nH]c2ccc(F)cc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,MIC,'=',12.5,ug.mL-1
CHEMBL207679,S=C(NN=C(c1ccccc1)c1ccccc1)Nc1ncc(C2CCC2)o1,MIC,'=',0.1,ug.mL-1
CHEMBL208043,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(O)cc1,MIC,'=',3.12,ug.mL-1
CHEMBL207383,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccccc1O,MIC,'=',3.12,ug.mL-1
CHEMBL210332,Oc1[nH]c2ccccc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,MIC,'=',25,ug.mL-1
CHEMBL378128,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(C)cc1,MIC,'=',0.78,ug.mL-1
CHEMBL382147,COc1c(N2CCN(Cn3c(O)c(/N=N/C(=O)c4ccncc4)c4ccccc43)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',0.2,ug.mL-1
CHEMBL1242899,CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccco2)c(=O)c2ccc(C)nc21,MIC,'=',8.5,ug.mL-1
CHEMBL1241820,COc1ccc(C2CC(c3cc4ccccc4o3)=NN2C(=O)c2ccncc2)cc1,log10cfu,'=',8.6,
CHEMBL1241906,O=C(c1ccncc1)N1N=C(c2cc3ccccc3o2)CC1c1ccco1,log10cfu,'=',12.6,
CHEMBL1242527,CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccc(O)cc2)c(=O)c2ccc(C)nc21,log10cfu,'=',7.21,
CHEMBL4077150,CCCCCCCCCCCCCCCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CCCCCCCCCCCCCCC)c(OC)c2)cc1OC,GI,,,
CHEMBL4075353,COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)c3ccc(Br)cc3)c(OC)c2)ccc1OC(=O)c1ccc(Br)cc1,GI,,,
CHEMBL4104132,COc1ccc2c(=O)c(C)c(-c3ccc(N4CCCCC4)cc3)[nH]c2c1,GI,'>',50,%
CHEMBL237950,COc1cc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc(OC)c1OC,IC90,'=',11900,nM
CHEMBL497740,Cc1c(C(=O)/C=C/c2ccccc2)[n+]([O-])c2ccccc2[n+]1[O-],IC90,'=',6120,nM
CHEMBL463791,Cc1c(C(=O)/C=C/c2ccc(Br)cc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,'=',3710,nM
CHEMBL206897,COc1c(N2CCN(Cn3c(O)c(/N=N/C(N)=O)c4ccccc43)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Log10 cfu,'=',5.08,
CHEMBL376488,,,,,
CHEMBL376488,,,,,
CHEMBL1276657,COc1ccc(C2c3ccc4cccnc4c3OC3NC(=S)NC(=S)C32)cc1,MIC,'=',125,ug.mL-1
CHEMBL1215949,CCCc1ccc(C#Cc2c[nH]c(=O)[nH]c2=O)cc1,Inhibition,'=',70,%
CHEMBL1215962,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C#Cc1ccccn1,Activity,,,
CHEMBL64,NNC(=O)c1ccncc1,Inhibition,'=',100,%
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',0.03,ug.mL-1
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',8,ug.mL-1
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',0.06,ug.mL-1
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',0.06,ug.mL-1
CHEMBL1256993,COc1c(N2CC[C@@H](C(C)(C)N)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,MIC,'=',0.03,ug.mL-1
CHEMBL4078918,COc1ccc(C(=O)N/N=C/c2c(Cl)c3ccccc3oc2=O)cc1,MIC,'=',280,nM
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',790,nM
CHEMBL1829179,O=C(O)c1ccc(N/C=N/NC(=O)c2ccccc2F)cc1O,MIC,'=',2,ug.mL-1
CHEMBL1829182,O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1ccc(F)cc1,MIC,'=',1,ug.mL-1
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',0.1,ug.mL-1
CHEMBL4063370,O=[N+]([O-])c1ccc(-c2ncncc2Br)o1,MIC,'=',1.5,ug.mL-1
CHEMBL4104910,Cc1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,MIC,'=',8,ug.mL-1
CHEMBL4087055,CC(C)(C)c1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,MIC,'=',8,ug.mL-1
CHEMBL4068649,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,MIC,'=',0.25,ug.mL-1
CHEMBL4074981,CC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,MIC,'>',32,ug.mL-1
CHEMBL4096336,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,MIC,'>',32,ug.mL-1
CHEMBL2402124,C=CCn1c(=O)c(C2C(C(=O)OC)=C(N)N(NC(=O)c3ccncc3)C3=C2C(=O)CCC3)cc2cc(C)ccc21,GI,'=',58,%
CHEMBL1823283,Cc1ccc(-n2cc(CO)nn2)cc1,MIC,'>',100,ug.mL-1
CHEMBL1823288,COc1cccc(-n2cc(CO)nn2)c1,MIC,'>',100,ug.mL-1
CHEMBL1823320,COc1ccccc1-n1cc(/C=N/NC(=O)c2ccncc2)nn1,MIC,'=',1900,nM
CHEMBL1823326,FCc1cn(-c2cccc(Cl)c2)nn1,MIC,'=',472500,nM
CHEMBL1823333,C=Cc1cn(-c2ccc(Cl)cc2)nn1,MIC,'=',243100,nM
CHEMBL1823334,C=Cc1cn(-c2ccc([N+](=O)[O-])cc2)nn1,MIC,'>',100,ug.mL-1
CHEMBL1224547,CCCCCCc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,MIC,'=',202000,nM
CHEMBL1224550,CCCCCc1ccc(OC(=O)c2ccc(Cl)cc2)cc1,MIC,'=',105680,nM
CHEMBL227875,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,MIC99,'=',0.5,uM
CHEMBL227875,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,MIC99,'=',0.6,uM
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC99,'=',0.003,uM
CHEMBL2407808,Cc1ccn2c(C(=O)NCc3ccc(Oc4ccc(F)cc4)cc3)c(C)nc2c1,Activity,,,
CHEMBL4100025,CC(NC(=O)c1cc2ccccc2[nH]1)C12CC3CC(CC(C3)C1)C2,MIC,'>',5,ug.mL-1
CHEMBL2407803,Cc1ccn2c(C(=O)NCc3ncc(C(F)(F)F)cc3Cl)c(C)nc2c1,MIC99,'=',13,uM
CHEMBL2407803,Cc1ccn2c(C(=O)NCc3ncc(C(F)(F)F)cc3Cl)c(C)nc2c1,MIC99,'=',0.4,uM
CHEMBL2407801,Cc1ccn2c(C(=O)Nc3ccc(Oc4ccc(C(F)(F)F)cc4)cc3)c(C)nc2c1,Activity,,,
CHEMBL4093829,CN(Cc1ccc(F)cc1)c1cc(C(Nc2ccc(F)cc2)C(F)(F)F)ncn1,MIC99,'=',37,uM
CHEMBL4089431,CN(c1ccccc1)c1cc(C(=O)Nc2ccccc2)ncn1,MIC99,,,
CHEMBL4080846,CN(Cc1cccc(Cl)c1)c1cc(C(=O)Nc2ccccc2)ncn1,MIC99,'=',10,uM
