mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.39909610748291013,0.017283939158625,0.012149667739868164,0.0011811050483316095,10,30,30,"{'max_features': 10, 'max_leaf_nodes': 30, 'n_estimators': 30}",0.6952104499274311,0.6932752781809386,0.6950629235237173,0.7042594385285575,0.6878025169409487,0.6951221214203187,0.005300741645051225,18
0.62766432762146,0.023624510128627457,0.016595935821533202,0.0016209710294114229,10,30,50,"{'max_features': 10, 'max_leaf_nodes': 30, 'n_estimators': 50}",0.6990807934204161,0.6918238993710691,0.7071636011616651,0.7110358180058083,0.6887705711519845,0.6995749366221886,0.008555661292593893,14
0.8692585945129394,0.04340715556821828,0.020019960403442384,0.0011845585516940028,10,30,70,"{'max_features': 10, 'max_leaf_nodes': 30, 'n_estimators': 70}",0.6995645863570392,0.6985970004837929,0.7168441432720233,0.7052274927395934,0.6878025169409487,0.7016071479586795,0.009477065007314305,11
1.07845458984375,0.028132585527925788,0.024501514434814454,0.0026192680308880813,10,30,90,"{'max_features': 10, 'max_leaf_nodes': 30, 'n_estimators': 90}",0.7048863086598935,0.6913401064344461,0.712487899322362,0.7086156824782188,0.6916747337850919,0.7018009461360025,0.008742315546382289,10
0.18398871421813964,0.007506601687550938,0.008810758590698242,0.0009878962019702394,10,50,10,"{'max_features': 10, 'max_leaf_nodes': 50, 'n_estimators': 10}",0.687469762941461,0.6990807934204161,0.7028073572120038,0.718296224588577,0.6800580832526621,0.697542444283024,0.013175484911289764,16
0.433117151260376,0.013227317871319122,0.011915922164916992,0.00026625077114639267,10,50,30,"{'max_features': 10, 'max_leaf_nodes': 50, 'n_estimators': 30}",0.7063376874697629,0.7087566521528785,0.7139399806389157,0.7163601161665053,0.7032913843175218,0.7097371641491168,0.004808182254806722,8
0.7486132144927978,0.011178286802574957,0.01894545555114746,0.00014266781308490672,10,50,50,"{'max_features': 10, 'max_leaf_nodes': 50, 'n_estimators': 50}",0.7111756168359942,0.7116594097726173,0.7187802516940949,0.7289448209099709,0.7086156824782188,0.7158351563381792,0.007373002948693332,7
0.9742361068725586,0.02906200458657942,0.021618413925170898,0.0012649120996545977,10,50,70,"{'max_features': 10, 'max_leaf_nodes': 50, 'n_estimators': 70}",0.7198838896952104,0.714078374455733,0.7279767666989352,0.7260406582768635,0.7037754114230397,0.7183510201099563,0.008773130469556056,6
1.2916419982910157,0.0339812975724352,0.026285743713378905,0.001769298204037101,10,50,90,"{'max_features': 10, 'max_leaf_nodes': 50, 'n_estimators': 90}",0.714078374455733,0.7169811320754716,0.7270087124878993,0.7265246853823815,0.7110358180058083,0.7191257444814587,0.006517786863281924,4
0.2162550449371338,0.026575142600532103,0.00769495964050293,0.000638556298364604,20,20,10,"{'max_features': 20, 'max_leaf_nodes': 20, 'n_estimators': 10}",0.6700532172230286,0.656507014997581,0.6698935140367861,0.6795740561471443,0.643272023233301,0.6638599651275683,0.01264612167887982,29
0.5899094581604004,0.013641152469030905,0.01083073616027832,0.0006681587433823684,20,20,30,"{'max_features': 20, 'max_leaf_nodes': 20, 'n_estimators': 30}",0.675858732462506,0.6715045960328979,0.6994191674733785,0.6873184898354308,0.670377541142304,0.6808957053893034,0.01103237615346483,25
0.9686864376068115,0.031606488048097285,0.015242862701416015,0.0015962424350215107,20,20,50,"{'max_features': 20, 'max_leaf_nodes': 20, 'n_estimators': 50}",0.6734397677793904,0.6719883889695211,0.6960309777347532,0.6950629235237173,0.6727976766698935,0.681863946935455,0.011185780623326737,23
1.3510353088378906,0.031409493218421417,0.018903827667236327,0.0017486882976780688,20,20,70,"{'max_features': 20, 'max_leaf_nodes': 20, 'n_estimators': 70}",0.6787614900822448,0.6715045960328979,0.6969990319457889,0.6921587608906099,0.6684414327202324,0.6815730623343548,0.011240428825375796,24
1.6755959510803222,0.026216371217954216,0.02254209518432617,0.0025034970062941296,20,20,90,"{'max_features': 20, 'max_leaf_nodes': 20, 'n_estimators': 90}",0.686985970004838,0.6748911465892597,0.6945788964181994,0.6965150048402711,0.6790900290416263,0.6864122093788388,0.00843136604925237,19
0.2415858268737793,0.007351149585861061,0.007401275634765625,0.0004884886440890534,20,30,10,"{'max_features': 20, 'max_leaf_nodes': 30, 'n_estimators': 10}",0.6937590711175616,0.6666666666666666,0.6960309777347532,0.6945788964181994,0.6698935140367861,0.6841858251947934,0.013047311442733639,21
0.6473550796508789,0.021674402300960193,0.011225128173828125,0.0002704179469599351,20,30,30,"{'max_features': 20, 'max_leaf_nodes': 30, 'n_estimators': 30}",0.6923076923076923,0.6947266569908079,0.7134559535333979,0.6965150048402711,0.6834462729912875,0.6960903161326912,0.009775329754535525,17
1.0577053546905517,0.023433307471152635,0.01490483283996582,0.0004917945650473989,20,30,50,"{'max_features': 20, 'max_leaf_nodes': 30, 'n_estimators': 50}",0.6927914852443154,0.6961780358006773,0.7168441432720233,0.7042594385285575,0.6926427879961278,0.7005431781683402,0.009177052144648068,13
1.4511870861053466,0.028987257310293692,0.01904149055480957,0.0002657003822901419,20,30,70,"{'max_features': 20, 'max_leaf_nodes': 30, 'n_estimators': 70}",0.690856313497823,0.6913401064344461,0.7149080348499516,0.7090997095837367,0.6819941916747337,0.6976396712081383,0.012328895736685472,15
1.8467519283294678,0.03325119077997953,0.023229026794433595,0.0010289225811169309,20,30,90,"{'max_features': 20, 'max_leaf_nodes': 30, 'n_estimators': 90}",0.6927914852443154,0.6918238993710691,0.7158760890609874,0.7144240077444337,0.6926427879961278,0.7015116538833867,0.011150036689763356,12
0.26170854568481444,0.006250300438896681,0.0075089454650878905,0.0004195948454194566,20,50,10,"{'max_features': 20, 'max_leaf_nodes': 50, 'n_estimators': 10}",0.7063376874697629,0.6947266569908079,0.7236205227492739,0.7095837366892546,0.6844143272023233,0.7037365862202846,0.01334806612572063,9
0.7304218292236329,0.01885748625723897,0.01167759895324707,0.00056422457891138,20,50,30,"{'max_features': 20, 'max_leaf_nodes': 50, 'n_estimators': 30}",0.710208030962748,0.7121432027092405,0.7386253630203291,0.7221684414327202,0.7095837366892546,0.7185457549628584,0.01101946101585097,5
1.194050121307373,0.020689060582234,0.01683468818664551,0.0007028142069179249,20,50,50,"{'max_features': 20, 'max_leaf_nodes': 50, 'n_estimators': 50}",0.7121432027092405,0.7184325108853411,0.7352371732817038,0.7289448209099709,0.707647628267183,0.7204810672106878,0.01027415705194819,3
1.632439422607422,0.030415464706152542,0.02061595916748047,0.000802350871378969,20,50,70,"{'max_features': 20, 'max_leaf_nodes': 50, 'n_estimators': 70}",0.7135945815191098,0.7135945815191098,0.7391093901258471,0.7279767666989352,0.7115198451113263,0.7211590329948657,0.010733616439035667,2
2.0777133464813233,0.02360411817007971,0.02538762092590332,0.0010792965872543864,20,50,90,"{'max_features': 20, 'max_leaf_nodes': 50, 'n_estimators': 90}",0.7087566521528785,0.714078374455733,0.7478218780251694,0.7294288480154889,0.7110358180058083,0.7222243141310156,0.014697328217756402,1
