mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1913698673248291,0.001628217286277788,0.007506656646728516,0.00044743654385632646,0.3,0.1,4,10,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 10, 'subsample': 0.5}",0.6482825350749879,0.6357039187227866,0.6544046466602129,0.6326234269119071,0.6553727008712488,0.6452774456482286,0.00944486259047999,58
0.29407153129577634,0.008364025700446072,0.007801628112792969,0.00040444805494488107,0.3,0.1,4,30,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 30, 'subsample': 0.3}",0.6782776971456217,0.6855345911949685,0.6878025169409487,0.681026137463698,0.670377541142304,0.6806036967775082,0.006104092414077679,32
0.28996953964233396,0.0012043183064470461,0.007704305648803711,0.00039766713555289414,0.3,0.1,4,30,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 30, 'subsample': 0.5}",0.6903725205611998,0.6952104499274311,0.6945788964181994,0.6815101645692159,0.6945788964181994,0.6912501855788491,0.005166868114553872,21
0.38976144790649414,0.00785166750843173,0.008197927474975586,0.00040060220579138373,0.3,0.1,4,50,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.3}",0.6918238993710691,0.7077890662796323,0.7192642787996127,0.7042594385285575,0.6882865440464666,0.7022846454050676,0.011206073857436077,17
0.38381271362304686,0.0023143818257750936,0.007996606826782226,3.5214997172616495e-06,0.3,0.1,4,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.5}",0.7048863086598935,0.7005321722302854,0.7134559535333979,0.7028073572120038,0.7071636011616651,0.7057690785594491,0.0044273921012063094,15
0.4875164031982422,0.0056526937871823535,0.007801437377929687,0.0004006289379028291,0.3,0.1,4,70,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 70, 'subsample': 0.3}",0.7077890662796323,0.7058538945331398,0.7270087124878993,0.7187802516940949,0.7149080348499516,0.7148679919689437,0.007669023611982267,8
0.49741544723510744,0.0018667559510052495,0.007836866378784179,0.0005223161876571233,0.3,0.1,4,70,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 70, 'subsample': 0.5}",0.7184325108853411,0.7164973391388486,0.7279767666989352,0.7202323330106486,0.7323330106485963,0.7230943920764739,0.006043761756945104,5
0.5859476089477539,0.007440898817458465,0.008010101318359376,2.3773763690174505e-05,0.3,0.1,4,90,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 90, 'subsample': 0.3}",0.7155297532656023,0.7252056119980649,0.7458857696030978,0.723136495643756,0.7236205227492739,0.7266756306519591,0.010171333609511508,4
0.581096076965332,0.009066117582411094,0.007996034622192384,0.0005472407555793635,0.3,0.1,4,90,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 90, 'subsample': 0.5}",0.7218190614417029,0.7247218190614417,0.7391093901258471,0.7241045498547919,0.7386253630203291,0.7296760367008226,0.007568307561545017,2
0.18634729385375975,0.003492726416825452,0.007662582397460938,0.000556473813693657,0.3,0.01,2,10,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.3}",0.5229801644895985,0.5224963715529753,0.5217812197483059,0.5222652468538238,0.5246853823814134,0.5228416770052234,0.0009994503955738953,120
