compound_id,smiles,all_preds,all_probs
45416.mol2Rheediaxanthone_A,CC1(C)C=Cc2c(cc(O)c3c(=O)c4cc5c(c(O)c4oc23)OC(C)(C)C=C5)O1,1,0.95522016
21021.mol222807,CCCCc1ccc(CCc2ccc(O)c(OCCC3=C[C@@H]([C@H](CNC[C@H](C)O)C4CCCC4)C=[NH+]3)c2)o1,1,0.9551599
15258.mol216913,CCC/C=C1\OC(=O)C2=C1CC[C@H]1[C@@H]3CC[C@@]4(C(=C3Cc3cc[nH+][cH-]3)C(=O)O/C4=C\C[C@H](C)CNC)[C@@H]21,1,0.9551008
42687.mol2N-Methyl_tyramine-O-  -L-rhamnopyranoside,CNCCc1ccc(O[C@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,1,0.9543468
1587.mol2 1614,CC(C)CCN[C@H](O)[C@]1(O)[C@H](Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)O[C@H](C(=O)[O-])[C@@H](O)[C@@H]1O,1,0.95399386
17807.mol219522,CNCC[C@]1(C(=O)O[C@@H]2Cc3c(cc4oc(C)cc(=O)c4c3O)OC2(C)C)O[C@@H]1C,1,0.9534534
41044.mol2Kraussianone_1,CC1(C)C=Cc2cc(-c3coc4cc5c(c(O)c4c3=O)C=CC(C)(C)O5)c(O)cc2O1,1,0.9532645
27832.mol230492,COc1cc2c(cc1OC)[C@H](Cc1ccc(O)cc1)N(C)CC2,1,0.9531928
35582.mol2Deformylflustrabromine_B,CNCCc1cn(CC=C(C)C)c2cc(Br)ccc12,1,0.95303667
47920.mol2Vetivazulene,Cc1cccc(C)c2cc(C(C)C)cc1-2,1,0.9515906
40007.mol25-Hydroxy-L-tryptophan,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,1,0.95158476
40295.mol2Isaindigodione,CC1=C(C(=O)O)C(=O)C[C@@H]2CCC[C@@]3(C(=O)Nc4ccccc43)N12,1,0.95007914
42091.mol210-Methoxycathafoline,C/C=C1\CN2CC[C@@]34c5cc(OC)ccc5N(C)[C@H]3[C@@H]2C[C@@H]1[C@@H]4C(=O)OC,1,0.94958854
38291.mol24-O-  -D-Glucopyranosyl-1-deoxynojirimycin,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,0.949304
30931.mol235081,CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@@H]1[C@](C#N)(OC=O)c1cccc(Oc2ccccc2)c1,1,0.9491125
37902.mol26-O-  -D-Galactopyranosyl-1-deoxynojirimycin,OC[C@H]1O[C@H](OC[C@H]2NC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1,0.94904256
43134.mol2Nigrolineaxanthone_I,CC1(C)C=Cc2c(cc3oc4c5c(c(O)cc4c(=O)c3c2O)OC(C)(C)C=C5)O1,1,0.9487485
12780.mol214074,CNCC[C@H](C)CCc1ccc2[nH+][cH-]c(OC(=O)[C@@H]3O[C@@](O)(CO)[C@H](O)[C@H]3O)c2c1,1,0.94830143
27789.mol230427,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1,0.94829726
"34602.mol23  ,3  -Carboxyvincoside_lactam",C=C[C@@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)N3[C@H](C[C@H]21)c1[nH]c2ccccc2c1C[C@H]3C(=O)O,1,0.94826806
26803.mol229068,C=C[C@@H]1CN2CCC3=c4ccccc4=[NH+][C@@H]3[C@@H]2C[C@H]1/C(=C\OC)C(=O)OC,1,0.948222
47178.mol2Thwaitesixanthone,CC1(C)C=Cc2c(cc3oc4cc(O)c5c(c4c(=O)c3c2O)C=CC(C)(C)O5)O1,1,0.94807166
45030.mol2Pyranojacaeubin,CC1(C)C=Cc2c(cc3oc4c(O)c5c(cc4c(=O)c3c2O)C=CC(C)(C)O5)O1,1,0.9479263
18889.mol220655,COc1cc(/C=C/C(=O)O[C@@H]2[C@H](OC(C)=O)[C@@H](O)[C@H](CNC[C@H](C)O)O[C@H]2O)ccc1O,1,0.94726366
34570.mol2Capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,1,0.9467774
8059.mol2 9099,CC(=O)O[C@@]12C[C@@H](C)[C@](O)(CCC3=CC(=O)OC3)[C@@]3(C)[C@H](O)CC[C@@](C)([C@@H]4CCC[C@@H]4NN1)[C@@H]32,1,0.946558
25048.mol227053,CC[C@@]12C#CC[C@H]([C@H](O)CCc3ccc(O)c(OC)c3-c3ccc4cc(O)ccc4c3)[C@@H](O)[C@@H](CCC1)CC2,1,0.94643795
42994.mol2Neobetanin,O=C(O)C1=CC(=C/C=[N+]2/c3cc(O)c(O[C@H]4O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)cc3C[C@@H]2C(=O)[O-])C=C(C(=O)O)N1,1,0.9455739
40642.mol2Isostrychnine_N-oxide,O=C1CC=C2[C@H]3C[C@H]4[C@@]5(CC[N@@+]4([O-])C/C3=C\CO)c3ccccc3N1[C@@H]25,1,0.94522136
34811.mol2Chinese_bittersweet_alkaloid_I,COC(=O)[C@@H]1CCO[C@H](c2ccc[nH]2)N1,1,0.9441622
18880.mol220646,COc1cc(/C=C/C(=O)O[C@@H]2[C@H](OC(C)=O)[C@@H](O)[C@@H]3CNC[C@@]2(O)O3)c(CCO)cc1O,1,0.9438495
43838.mol2Palicoside,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1C[C@H]1c2[nH]c3ccccc3c2CCN1C,1,0.94361115
36067.mol23  -Dihydrocadambine,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](O)CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1,0.9432081
3280.mol2 3360,CN[C@]1(C(=O)[O-])O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)C(O)(O)[C@@H]1O,1,0.9429316
40403.mol2Isocyclocapitelline,CC(C)(O)[C@@H]1CC[C@](C)(Cc2nccc3c2[nH]c2ccccc23)O1,1,0.9427583
42974.mol2Naucleoside_B,C=C[C@@H]1C2=C[C@H]3c4[nH]c5ccccc5c4CCN3C(=O)C2=C(O)O[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,0.94273776
37901.mol22-O-  -D-Galactopyranosyl-1-deoxynojirimycin,OC[C@H]1NC[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1,0.94254994
37447.mol2Erythrozeylanine_C,CC(=O)O[C@H]1C[C@@H]2C[C@H](OC(=O)/C=C/c3ccccc3)C[C@H]1N2C,1,0.94243675
32458.mol2trans-6  -Acetoxy-3  -(cinnamoyloxy)tropane,CC(=O)O[C@H]1C[C@@H]2C[C@H](OC(=O)/C=C/c3ccccc3)C[C@H]1N2C,1,0.94243675
18887.mol220653,CNCc1cc(O)c(OC)cc1/C=C/C(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](O)[C@H](C)O[C@H]1O,1,0.94241494
