compound_id,smiles,all_preds,all_probs
Z1558572526,Clc1ccc(N/C(=N/C(=N/C(C)C)/N)/N)cc1.Cl,1,0.95476943
Z1546610476,Fc1ccc(-c2n(CC[C@@](O)C[C@@](O)CC(=O)O)c(C(C)C)c(C(=O)Nc3ccccc3)c2-c2ccccc2)cc1.Fc1ccc(-c2n(CC[C@@](O)C[C@@](O)CC(=O)O)c(C(C)C)c(C(=O)Nc3ccccc3)c2-c2ccccc2)cc1.[Ca].O.O.O,1,0.9545716
Z2696918787,Clc1c(CC(=O)/N=C(\N)/N)c(Cl)ccc1.Cl,1,0.95441616
Z2417556930,Ic1c(N(C(=O)C)C)c(I)c(C(=O)O)c(I)c1NC(=O)C,1,0.9529539
Z2235802254,P(=O)(OC[C@@]1[C@@](O)[C@](O)[C@](n2c3nc(F)nc(N)c3nc2)O1)(O)O,1,0.952287
Z55682028,Clc1c(OCC(O)CNC(C)(C)C)cc(Cl)cc1,1,0.9510373
Z440843598,Brc1ccc(NC2C3CC4CC2CC(C3)C4)cc1,1,0.95041263
Z1552161470,O=C1[C@@]2Oc3c(O)ccc4c3[C@@]32[C@](O)([C@](N(CC2CC2)CC3)C4)CC1.Cl,1,0.9497014
Z2681890595,Ic1c(NC(=O)COC)c(I)c(C(=O)NCC(O)CO)c(I)c1C(=O)N(CC(O)CO)C,1,0.9494774
Z2216887941,P(=O)(OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)(O)O,1,0.9480294
Z1551429722,NC12CC3(C)CC(C)(C1)CC(C2)C3.Cl,1,0.9478169
Z31251611,Clc1cc2nc3c(c(NC(CCCN(CC)CC)C)c2cc1)cc(OC)cc3,1,0.94479656
Z1521553599,O=C(OCc1scnc1)N[C@]([C@@](O)C[C@@](NC(=O)[C@@](NC(=O)N(Cc1nc(C(C)C)sc1)C)C(C)C)Cc1ccccc1)Cc1ccccc1,1,0.94406396
Z1592690502,S(C)c1cc2N(CCC3N(C)CCCC3)c3c(Sc2cc1)cccc3.Cl,1,0.9411272
Z2285376546,Clc1c2c(c3c(c(C(O)CCN(CCCC)CCCC)c2)ccc(C(F)(F)F)c3)cc(Cl)c1.Cl,1,0.94026047
Z2471178866,S(=O)(=O)(O)O.OC[C@@]1C=C[C@](n2c3nc(N)nc(NC4CC4)c3nc2)C1.OC[C@@]1C=C[C@](n2c3nc(N)nc(NC4CC4)c3nc2)C1,1,0.94007796
Z2235802217,Clc1c2[C@@](O)[C@@]3C(C(=O)c2c(O)cc1)=C(O)[C@]1(O)C(=O)C(C(=O)N)=C(O)[C@@](N(C)C)[C@@]1C3.Cl,1,0.93929994
Z2108699066,O=C1OCC([C@@]2[C@]3(C)[C@@](O)([C@]4[C@@]([C@]5(C)[C@@](C[C@@](O[C@@]6O[C@](C)[C@@](O[C@@]7O[C@](C)[C@@](O[C@@]8O[C@](C)[C@@](O)[C@@](O)C8)[C@@](O)C7)[C@@](O)C6)CC5)CC4)C[C@]3O)CC2)=C1,1,0.93872917
Z2311928354,Clc1ccc(C(CCN(C)C)c2ncccc2)cc1.O=C(O)/C=C/C(=O)O,1,0.9381904
Z971222254,O=[N+]([O-])c1c(C)c(C(=O)N)cc([N+](=O)[O-])c1,1,0.9372826
Z2568666690,Clc1cc2nc(/C=C/c3cc([C@](SCC4(CC(=O)[O-])CC4)CCc4c(C(O)(C)C)cccc4)ccc3)ccc2cc1.[Na+],1,0.9367629
Z1552200029,O=C1OCC([C@@]2[C@]3(C)[C@@](O)([C@]4[C@@]([C@]5(C)[C@@](C[C@@](O[C@@]6O[C@](C)[C@@](O[C@@]7O[C@](C)[C@@](O[C@@]8O[C@](C)[C@@](O)[C@@](O)C8)[C@@](O)C7)[C@@](O)C6)CC5)CC4)CC3)CC2)=C1,1,0.93567127
Z2216907255,Clc1cc(c(-c2cnc(C)cc2)nc1)-c1ccc(S(=O)(=O)C)cc1,1,0.9348504
Z2315582665,Clc1ccc(C(OCCN(C)C)c2ncccc2)cc1.O=C(O)/C=C/C(=O)O,1,0.9322156
Z1556052559,O=C(N)C(CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,1,0.93219
Z1554101876,Clc1c(-c2c(C(=O)N[C@@]3C(=O)N4[C@@](C(=O)[O-])C(C)(C)S[C@]34)c(C)on2)c(Cl)ccc1.[Na+].O,1,0.93034744
Z1443584665,Clc1cc(Cl)cc(-c2oc3c(n2)ccc(C(=O)O)c3)c1,1,0.92908776
Z91274084,O=[N+]([O-])c1ccc(-c2oc(/C=N/N3C(=O)NC(=O)C3)cc2)cc1,1,0.92824084
Z1741977097,Clc1sc(C(=O)NC[C@@]2OC(=O)N(c3ccc(N4C(=O)COCC4)cc3)C2)cc1,1,0.9264688
Z2065417924,Clc1c([C@](Oc2c(N)ncc(-c3cn(C4CCNCC4)nc3)c2)C)c(Cl)ccc1F,1,0.9247327
Z1341543331,OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1,1,0.92136085
Z2939838603,S(=O)(=O)(O)C.O=C(N[C@@]1(C)C(=O)N2[C@@](O)(O1)[C@]1N(C(=O)[C@@]2Cc2ccccc2)CCC1)[C@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,1,0.9193796
Z2289761610,O=C(N)c1c(/N=N/N(C)C)[nH]cn1,1,0.9136103
Z3041510078,O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](N)c1ccc(O)cc1.O.O.O,1,0.9123429
Z1878131003,FC(F)(F)c1ccc(NC(=O)/C(/C#N)=C(\O)/C)cc1,1,0.909666
Z1741982569,Clc1cc2N=C(N3CCN(C)CC3)c3c(Nc2cc1)cccc3,1,0.9090906
Z2065671685,ClC(Cl)C(=O)N[C@@]([C@](O)c1ccc(S(=O)(=O)C)cc1)CF,1,0.9088286
Z1546610490,Clc1ccc(C2(O)CCN(CCC(C(=O)N(C)C)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,1,0.9075221
Z1546610483,O=C(N(O)C(C)c1sc2c(c1)cccc2)N,1,0.9037903
Z3243811539,S(=O)(=O)(O)C.S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C,1,0.90115637
Z2681891576,O=C(NCCO)/C=C/c1ccccc1,1,0.900658
Z2756516876,NC=1N2c3c(cccc3)Cc3c(cccc3)C2CN=1.Cl,1,0.90063596
Z1980444595,O=C(OC1C[C@@]2[N+]3([C@](C1)CC2)CCCC3)C(O)(c1ccccc1)c1ccccc1.[Cl-],1,0.90042925
Z2301534047,S(c1c2c([nH]c1)cccc2)C1=NCCN1.I,1,0.89968634
Z1557400301,Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(C[C@](N)C(=O)O)c1,1,0.89947265
Z57117643,O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(=O)N)c1,1,0.89803153
Z56886396,Ic1c(NC(=O)C)c(I)c(C(=O)O)c(I)c1NC(=O)C,1,0.8946965
Z56791187,O=C(Oc1ccc(C2(c3ccc(OC(=O)C)cc3)C(=O)Nc3c2cccc3)cc1)C,1,0.89361155
Z2768134941,O=C(OCCN1CCCCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1.Cl,1,0.89353687
Z1251172867,O=C(O[C@]1[C@](OC)[C@@](C(=O)OC)[C@@]2[C@](C1)CN1[C@@](c3[nH]c4c(c3CC1)ccc(OC)c4)C2)c1cc(OC)c(OC)c(OC)c1,1,0.88915867
Z1151174635,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C.Cl,1,0.88868725
Z56872184,NC(C)C12CC3CC(C1)CC(C2)C3.Cl,1,0.8883004
