tcm_id,smiles
35222.mol2Crocusatin_L,CC1=C(CO)C(C)(C)CC(=O)[C@@H]1O
35214.mol2Crocusatin_D,CC1=C(CO)C(C)(C)C[C@H](O)C1=O
45290.mol2Rehmapicrogenin,CC1=C(C(=O)O)C(C)(C)CC[C@H]1O
"36264.mol2(4S,8S)-8,9-Dihydroxy-8,9-dihydrocarvone",CC1=CC[C@H]([C@](C)(O)CO)CC1=O
"36263.mol2(4S,8R)-8,9-Dihydroxy-8,9-dihydrocarvone",CC1=CC[C@@H]([C@](C)(O)CO)CC1=O
39466.mol2(R)-6-Hydroxy-3-hydroxypropan-2-yl)-6-methylcyclohex-2-enone,CC(C)(O)C1=CC(=O)[C@](C)(O)CC1
35220.mol2Crocusatin_J,CC1=C(C=O)C(C)(C)[C@H](O)[C@H](O)C1
35221.mol2Crocusatin_K,CC1=C(C=O)C(C)(C)[C@@H](O)[C@H](O)C1
39700.mol2(4R)-4-Hydroxymethylboschnialactone,C[C@@H]1CC[C@H]2[C@@H]1COC(=O)[C@H]2CO
42083.mol2Methoxycapillen,CC#CC#CCc1ccccc1OC
35366.mol2Cyclo-(Leu-Ala),CC(C)C[C@@H]1NC(=O)[C@H](C)NC1=O
35364.mol2Cyclo-(Ile-Ala),CC[C@@H](C)[C@@H]1NC(=O)[C@H](C)NC1=O
28522.mol231537,COC(=O)C[C@@H](C)CCC=C(C)C
9465.mol2 10597,CC1(C)[C@H]2CC[C@]1(C)[C@@](O)(CO)C2
8813.mol2 9935,C[C@@]1(CCO)O[C@]2(C)CC[C@H]1CC2
26957.mol229282,CCCCCCCC/C=C/C(=O)O
47808.mol2  -Undecalactone,CCCCCCC[C@H]1CCC(=O)O1
29585.mol233097,CCCCCCCCCCC(C)=O
26567.mol228784,CCCCCCCCCCCC=O
"47644.mol22,5,6-Trimethyldecane",CCCC[C@@H](C)[C@H](C)CCC(C)C
26555.mol228769,CCCCC(CCCC)CC(C)C
31459.mol235929,CCCCCCCCCCCCC
40356.mol2Isobutyl_pyroglutamate,CC(C)COC(=O)[C@H]1CCC(=O)N1
34332.mol2n-Butyl_pyroglutamate,CCCCOC(=O)[C@@H]1CCC(=O)N1
43605.mol2Osbeckic_acid,O=C(O)c1ccc([C@@H](O)C(=O)O)o1
25802.mol227836,O=c1ccc2cc3ccoc3cc2o1
25786.mol227816,O=c1ccc2ccc3occc3c2o1
"46983.mol21,2,3,4-Tetrahydro-1-oxo-  -carboline",O=C1NCCc2c1[nH]c1ccccc21
29152.mol232422,O=c1c2ccccc2nc2n1CCC2
33107.mol22-(4'-Aminobenzenamine)-pyrimidine,Nc1ccc(Nc2ncccn2)cc1
4384.mol2 4726,CC1=CC[C@@H]([C@@](C)(O)CO)C[C@@H]1O
"42032.mol2p-Menth-3-ene-1  ,2  ,5  -triol",CC(C)C1=C[C@H](O)[C@](C)(O)C[C@@H]1O
27501.mol230055,CC(C)(O)[C@H]1C=C[C@@](O)(CO)CC1
"42030.mol2cis-p-Menth-2-ene-1  ,7,8-triol",CC(C)(O)[C@H]1C=C[C@@](O)(CO)CC1
"42031.mol2trans-p-Menth-2-ene-1  ,7,8-triol",CC(C)(O)[C@H]1C=C[C@](O)(CO)CC1
"36562.mol2(1S,4S,8S)-8,9-Dihydroxytetrahydrocarvone",C[C@H]1CC[C@@H]([C@@](C)(O)CO)CC1=O
11.mol2   11,CC[C@H](O)CCC/C=C/OC(C)=O
26616.mol228861,CC(C)[C@@H]1C[C@@H](O)[C@@](C)(O)[C@H]2O[C@@H]12
34609.mol2Carlinoxide,C(#C[C@H]1CCCO1)Cc1ccccc1
30874.mol234937,CCCCCCCCCOC(C)=O
29602.mol233119,COC(C)(C)CCC[C@@H](C)CC=O
29614.mol233146,CCCCCCCCCC(=O)OC
26988.mol229321,CCCCCCCCCCC(=O)O
"37164.mol24-Epi-11-nor-aristola-1,9,11-triene",C=C1[C@H]2CC=C3C=CC[C@@H](C)[C@@]3(C)[C@@H]12
27424.mol229921,CCCCCCCCCCCCO
"47530.mol22  ,3  ,6-exo-Trihydroxynortropane",O[C@@H]1[C@@H](O)[C@H](O)[C@]23[C@H](C[C@@H]2O)N[C@H]13
44683.mol2Potassium_quisqualate,N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)[O-]
28716.mol231850,O=C(O)c1ccc2cc(O)ccc2c1
"42441.mol26,7-Methylenedioxy-N-methylisoquinoline",C[n+]1ccc2cc3c(cc2c1)OCO3
"42396.mol2Methyl-5,7-dihydroxy-2(Z)-octenoate",COC(=O)/C=C\C[C@@H](O)C[C@H](C)O
39367.mol23-(2'-Hydroxyethyl)-5-(2''-hydroxypropyl)-dihydrofuran-2(3H)-one,C[C@@H](O)C[C@H]1C[C@@H](CCO)C(=O)O1
"36735.mol24,4-Dimethyl-1,7-heptanedioic_acid",CC(C)(CCC(=O)O)CCC(=O)O
29664.mol233243,O=C(O)CCCCCCCC(=O)O
27382.mol229858,CC/C(C)=C1/OC(=O)c2ccccc21
27383.mol229860,CC/C(C)=C1\OC(=O)c2ccccc21
31394.mol235800,CC(C)/C=C1\OC(=O)c2ccccc21
27420.mol229908,CCC/C=C1\OC(=O)c2ccccc21
27425.mol229922,CCC/C=C1/OC(=O)c2ccccc21
34327.mol23-Butylidene-phalide,CCC/C=C1/OC(=O)c2ccccc21
27520.mol230080,CC(C)(O)[C@H]1CC[C@](O)(CO)CC1
"42006.mol2trans-p-Menthane-1  ,2  ,8-triol",CC(C)(O)[C@@H]1CC[C@](C)(O)[C@@H](O)C1
27519.mol230079,CC(C)(O)[C@@H]1CC[C@](C)(O)[C@@H](O)C1
"36266.mol2(3S,6S)-6,7-Dihydroxy-6,7-dihydrolinalool",C=C[C@@](C)(O)CC[C@H](O)C(C)(C)O
"36265.mol2(3S,6R)-6,7-Dihydroxy-6,7-dihydrolinalool",C=C[C@@](C)(O)CC[C@@H](O)C(C)(C)O
"42658.mol22-Methyl-1,2,3,4-tetrahydro-  -carboline",CN1CC[C@@H]2c3ccccc3N[C@@H]2C1
"37163.mol24-Epi-11-nor-aristola-9,11-diene",C=C1[C@H]2CC=C3CCC[C@@H](C)[C@@]3(C)[C@@H]12
"37162.mol24-Epi-11-nor-aristola-1(10),11-diene",C=C1[C@H]2CCC3=CCC[C@@H](C)[C@@]3(C)[C@@H]12
45179.mol2Quisqualic_acid,N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O
"42435.mol26,7-Methylenedioxy-1(2H)-isoquinolinone",O=c1[nH]ccc2cc3c(cc12)OCO3
42209.mol24-Methoxy-1-methyl-2-quinolone,COc1cc(=O)n(C)c2ccccc12
10015.mol211147,C[C@@H](CN1CC1)c1ccc(C=O)cc1
37811.mol28-Formyl-7-hydroxycoumarin,O=Cc1c(O)ccc2ccc(=O)oc12
37820.mol26-Formylumbelliferone,O=Cc1cc2ccc(=O)oc2cc1O
38441.mol2L-Glutamic_acid-  -methylamide,NC(=O)[C@H](C[C@H](N)C(=O)O)C(=O)O
33122.mol2L-  -Amino-  -oxalylaminobutyric_acid,N[C@@H](CCNC(=O)C(=O)O)C(=O)O
"32634.mol23-Acetyl-5-carbomethoxy-2H-3,4,5,6-tetrahydro-1-oxa-2,3,5,6-tetrazine",CC(=O)ON1CN(C(C)=O)NON1
26070.mol228196,Cc1cc(=O)c2c(C)cc(O)cc2o1
44911.mol2Psilotic_acid,O=C(O)/C=C/C=C/c1ccc(O)cc1
28305.mol231124,C/C=C(\C)C(=O)OCc1ccccc1
"42567.mol22-Methyl-6-(3-methyl-2-butenyl)benzo-1,4-quinone",CC(C)=CCC1=CC(=O)C=C(C)C1=O
"36678.mol24-(3,4-Dimethoxyphenyl)-but-1,3-diene",C=C/C=C\c1ccc(OC)c(OC)c1
26906.mol229228,Cc1ccc2c(c1O)C=CC(C)(C)O2
"39712.mol26-Hydroxy-8-methyl-2,2-dimethyl-2H-benzopyran",Cc1cc(O)cc2c1OC(C)(C)C=C2
27433.mol229941,CC/C(C)=C1\OC(=O)C2=C1CCC=C2
27396.mol229876,CCCC[C@@H]1OC(=O)c2ccccc21
27397.mol229877,CCCC[C@H]1OC(=O)c2ccccc21
27384.mol229863,CCC/C=C1/OC(=O)C2=C1CCC=C2
30242.mol233987,CCC/C=C1/OC(=O)C2=C1CCC=C2
34248.mol2Bruguierol_A,C[C@]12CC[C@H](Cc3cc(O)ccc31)O2
29100.mol232360,O=c1[cH-]ccc2[n+]1C[C@H]1CNC[C@@H]2C1
29631.mol233173,C/C=C/C=C1/C(C)=CC(=O)CC1(C)C
9706.mol2 10838,C=C1[C@H]2C[C@H]3CCC[C@]1(C)[C@@]3(C=O)C2
28460.mol231385,C=C(C)[C@H]1C=C2[C@H](C)CC[C@@H]2[C@H](C)C1
9713.mol2 10845,C=C1[C@H]2CC[C@H](C2)[C@]1(C)C1CCCC1
31404.mol235818,CCC#CC(=C=C(CC)CCC)CC
43256.mol2(-)-Norrotundene,C[C@@H]1CC[C@H]2[C@@H]1C[C@@H]1C=C[C@@]2(C)CC1
34495.mol2Calystegine_C1,O[C@@H]1[C@H](O)[C@@H]2N[C@@](O)(C[C@H]2O)[C@H]1O
"44059.mol21,2,3,4,7-Pentahydroxy-6-nitrobicyclo[3.3.0]octane",O[C@H]1[C@H](O)[C@H]2N[C@H](O)C[C@@]2(O)[C@@H]1O
26849.mol229130,Cc1occc1OC(=O)c1c[cH-]c[nH+]1
35716.mol2N-Demethyldoryphornine,COc1cc2cc[nH]c(=O)c2cc1O
43254.mol2Noroxyhydrastinine,O=C1NCCc2cc3c(cc21)OCO3
"37035.mol2(4S,5R)_Ephedroxane",C[C@H]1[C@@H](c2ccccc2)OC(=O)N1C
27762.mol230388,O=C(O)[C@]1(O)C[C@H](O)[C@H](O)[C@@H](O)C1
29644.mol233206,O=C(O)[C@]1(O)C[C@@H](O)[C@H](O)[C@@H](O)C1
30008.mol233707,O=C(O)[C@]1(O)C[C@@H](O)[C@H](O)[C@H](O)C1
42278.mol2  -Methylaesculetin,Cc1cc(=O)oc2cc(O)c(O)cc12
25803.mol227837,COc1cc2ccc(=O)oc2cc1O
40627.mol2Isoscopoletin,COc1cc2oc(=O)ccc2cc1O
37436.mol2Erythrocentauric_acid,O=C(O)c1cccc2c1CCOC2=O
27866.mol230537,O=C1C=C[C@@]2(CC[C@@]23C=CC(=O)O3)O1
42096.mol2(E)-p-Methoxycinnamic_acid_methyl_ester,COC(=O)/C=C/c1ccc(OC)cc1
31256.mol235586,COc1ccc(/C=C/C=O)cc1OC
33333.mol2Anticancer_Benzenoid_PMV70P691-57,COc1ccc(/C=C\C=O)cc1OC
31390.mol235790,C=CCOC(=O)COc1ccccc1
"47646.mol22,4,4-Trimethyl-3-formyl-6-hydroxy-2,5-cyclohexadien-1-one",CC1=C(C=O)C(=O)C=C(C=O)C1(C)C
25829.mol227866,C=CCc1ccc2c(c1OC)OCO2
25828.mol227864,C=CCc1cc2c(cc1OC)OCO2
33679.mol2Asaricin,C=CCc1cc2c(cc1OC)OCO2
40527.mol2Isomyristicin,C/C=C/c1cc(OC)c2c(c1)OCO2
25823.mol227857,C=CCc1cc(OC)c2c(c1)OCO2
39691.mol2(-)-5-Hydroxy-4-methoxy-1-tetralone,CO[C@H]1CCC(=O)c2cccc(O)c21
39692.mol2(4R)-5-Hydroxy-4-methoxy-  -tetralone,CO[C@@H]1CCC(=O)c2cccc(O)c21
35995.mol2Dictafolin_A,COc1cccc2c1C(=O)C[C@@H](C)O2
