smiles,fda_id
O=C(O)c1c2c(nc(-c3ccccc3)c1)cccc2,Z56782585
P(=O)(O)(O)C(P(=O)(O)O)(O)CCCN,Z56771118
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,Z56768517
S(=O)(=O)(Nc1nc(OC)nc(OC)c1)c1ccc(N)cc1,Z56763920
S(=O)(=O)(CCn1c(C)ncc1[N+](=O)[O-])CC,Z56763819
C(c1c2c(ccc1)cccc2)C1=NCCN1,Z56762888
O=C(NCc1ccccc1)c1cc[n+](C)cc1.[I-],Z56761710
Fc1c(N2CCN(C)CC2)c2OCC(C)N3c2c(C(=O)C(C(=O)O)=C3)c1,Z56761309
O=[N+]([O-])c1ccc(C(O)CNC(C)C)cc1,Z56755859
O=C(O)c1c(Nc2c(C)c(C)ccc2)cccc1,Z56755828
O=C(O)c1cnccc1,Z56755709
FC(F)(F)c1c([N+](=O)[O-])ccc(NC(=O)C(C)C)c1,Z56755651
S(Sc1sc2c(n1)cccc2)c1sc2c(n1)cccc2,Z56754489
S(SC(=S)N(C)C)C(=S)N(C)C,Z56754480
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,Z56347248
O(C)c1c(O)ccc(CC=C)c1,Z56347226
O=C1N(C)c2ncn(C)c2C(=O)N1,Z56347209
Clc1c(OCC(O)CNC(C)(C)C)cc(Cl)cc1,Z55682028
O=C(Nc1c(C)cccc1C)CN(CC)CC,Z55135799
O=C(N)c1c(OCC)cccc1,Z54953371
O=C(OCC)c1ccc(N)cc1,Z54178706
O=C1N(CC)C(=O)NC1c1ccccc1,Z53845223
O=C1N(C)C(=O)NC1(CC)c1ccccc1,Z53843610
Clc1ccc(OC(C(=O)OCC)(C)C)cc1,Z53835984
O=C(OCCC)c1ccccc1,Z53835171
O=C(OCCOCC)/C=C/c1ccc(OC)cc1,Z53833825
O=C(OCC)c1ccc(O)cc1,Z53833636
O=C(OCC)c1c(O)cccc1,Z53833295
O=[N+]([O-])c1cc(C2C(C(=O)OC(C)C)=C(C)NC(C)=C2C(=O)OCCOC)ccc1,Z53829207
S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1,Z53037954
Clc1ccc(OC(C(=O)OCCn2c3C(=O)N(C)C(=O)N(C)c3nc2)(C)C)cc1,Z51093246
O=C1N(c2ccccc2)N=C(C)C1,Z50145861
Clc1c(/C=N/NC(=N)N)c(Cl)ccc1.Cl,Z49562666
OC(CCCC)c1ccccc1,Z445987132
S(=O)(=O)(NC(=O)NCCCC)c1ccc(C)cc1,Z44591715
O=C(Nc1c(C)cccc1)C(NCCC)C,Z44530398
Brc1ccc(NC2C3CC4CC2CC(C3)C4)cc1,Z440843598
S(=O)(=O)(N1CCNCCC1)c1c2c(cncc2)ccc1,Z432085130
O=C1N2C(=NC(C3=Nn4c(C(C)=C3)nc(C)c4)=C1)C=CC(N1CC3(NCC1)CC3)=C2.Cl,Z4168286686
Clc1c(C)cc(O)cc1C,Z405702410
O(CCc1ccc(OCC(O)CNC(C)C)cc1)C,Z398538014
FC(F)(F)C(=O)O.FC(F)(F)C(=O)O.FC(F)(F)C(=O)O.O=C(N[C@@](C(=O)N1CCC(N)(C(=O)O)CC1)CCCCN)[C@](NC(=O)[C@](NC(=O)[C@](N)Cc1ccccc1)Cc1ccccc1)CC(C)C,Z3905817531
Nc1c(N)ccnc1,Z385438794
O=C1C(CC)(C)CC(=O)N1,Z384975088
OCc1c(O)c(C)ncc1CO,Z382721012
O=C(O)c1c(NCCc2ccccc2)cccc1,Z381346304
ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,Z381079728
O=C(NCc1cc(OC)c(O)cc1)CCCCCCCC,Z373586944
N(Cc1occc1)c1ncnc2nc[nH]c12,Z372953774
S(=O)(=O)(NC(=O)c1c(N2C(C)(C)C[C@](C)C2)nc(-n2nc(OCC(C(F)(F)F)(C)C)cc2)cc1)c1c(C)nn(C)c1,Z3675381442
N12CN3CN(C1)CN(C3)C2,Z362014242
O=C1N(C)C(=O)CC1c1ccccc1,Z360145318
S(CCN1CCOCC1)c1[nH]c2c(n1)ccc(OCC)c2,Z351640822
O=C(O)CC[C@@](C)C1[C@@]2(C)C(=O)C[C@@]3[C@]4(C)[C@](CC(=O)[C@]3[C@@]2CC1)CC(=O)CC4,Z3407753879
S(=O)(=O)(OC)[O-].N(C)(C)c1cc2c([n+](C)c(/C=C/c3c(C)n(c(C)c3)-c3ccccc3)cc2)cc1,Z3400110582
O=C(O)CC1(CN)CCCCC1,Z336079954
O=C(N)c1nccnc1,Z33546644
O=C(N)c1cnccc1,Z33546463
O=C(OCC)N,Z33546369
S(=O)(=O)(/N=C/1\C(C)=C(C)NO\1)c1ccc(N)cc1,Z335430322
O=C(OCC)[C@](C[C@@](NC(=O)CCC(=O)[O-])Cc1ccc(-c2ccccc2)cc1)C.O=C(OCC)[C@](C[C@@](NC(=O)CCC(=O)[O-])Cc1ccc(-c2ccccc2)cc1)C.[Ca+2],Z3313642143
S(=O)(=O)(Nc1sccn1)c1ccc(NC(=O)c2c(C(=O)[O-])cccc2)cc1.[Na+],Z3281948767
O=C(OC)N[C@](C(=O)N1[C@](c2[nH]c(-c3ccc(-c4ccc(-c5[nH]c([C@]6N(C(=O)[C@@](NC(=O)OC)C(C)C)CCC6)nc5)cc4)cc3)cn2)CCC1)C(C)C.Cl.Cl,Z3247611631
O(CCOc1ccc(C(CC(C)(C)C)(C)C)cc1)CC[N+](Cc1ccccc1)(C)C.[Cl-],Z324590202
C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1.Cl,Z3245419176
S(=O)(=O)(O)O.O=C(N[C@](C(=O)N[C@@]1C(=O)N[C@](CCN)C(=O)N[C@](Cc2ccccc2)C(=O)N[C@@](CC(C)C)C(=O)N[C@@](CCN)C(=O)N[C@@](CCN)C(=O)N[C@@]([C@](O)C)C(=O)NCC1)CCN)[C@@](NC(=O)[C@@](NC(=O)CCCCC(CC)C)CCN)[C@](O)C,Z3244598618
S(C1=C(C(=O)O)N2C(=O)[C@]([C@](O)C)[C@]2[C@]1C)[C@]1C[C@@](C(=O)N(C)C)NC1.O.O.O,Z3243814856
S(=O)(=O)(O)C.S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C,Z3243811539
O=C1N(C[C@]2[C@](CN3CCN(c4nsc5c4cccc5)CC3)CCCC2)C(=O)[C@@]2[C@]1[C@@]1C[C@]2CC1.Cl,Z3241270511
Clc1ccc(C(=O)NCCN2CCOCC2)cc1,Z32409934
Fc1ccc([C@]2(CCCN(C)C)OCc3c2ccc(C#N)c3)cc1.O=C(O)C(=O)O,Z3235136057
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1.Cl,Z3234966609
S(=O)(=O)(C)c1c(C(=O)c2c(C3CC3)onc2)ccc(C(F)(F)F)c1,Z3234892128
S(=O)(=O)(O)C.Fc1c(C2(N)CC2)c2OC[C@](C)N3c2c(C(=O)C(C(=O)O)=C3)c1,Z3234818655
Clc1c2Oc3c(O[C@]4[C@](O[C@@]5O[C@@](C)[C@@](O)[C@](N)(C)C5)[C@@](O)[C@](O)C(CO)O4)c4Oc5c(Cl)cc([C@@](O)[C@]6C(=O)N[C@](C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)[C@](C(=O)N6)NC(=O)[C@](NC(=O)[C@](CC(=O)N)NC(=O)[C@](NC(=O)[C@](NC)CC(C)C)[C@](O)c(c1)cc2)c(c3)c4)cc5.Cl,Z3223135042
O=C/C=C/c1ccccc1,Z3219847383
Clc1c([C@@]2(Cn3cncc3)O[C@](COc3ccc(N4CCN(C(=O)C)CC4)cc3)CO2)ccc(Cl)c1,Z3219503092
P(=O)(O[C@](OC(=O)CC)C(C)C)(CC(=O)N1[C@](C(=O)O)C[C@@](C2CCCCC2)C1)CCCCc1ccccc1,Z3207130728
O=C(OC1C[C@@]2N(C)[C@@]([C@]3O[C@@]23)C1)[C@](CO)c1ccccc1.Br.O.O.O,Z3207130668
[Pt](Cl)Cl.N.N,Z3182781436
O=C(N(CC)CC)c1cc(C)ccc1,Z31723661
O=C(OCC)N1C(C(=O)O)CSC1,Z316101664
Sc1ncnc2[nH]cnc12,Z314598824
O(CC(O)CNCCc1cc(OC)c(OC)cc1)c1cc(C)ccc1,Z31382955
OC(CO)CN1CCN(c2ccccc2)CC1,Z31370892
O(CC(O)CN1CCN(c2c(OC)cccc2)CC1)c1c2c(ccc1)cccc2,Z31369389
Clc1cc2nc3c(c(NC(CCCN(CC)CC)C)c2cc1)cc(OC)cc3,Z31251611
S(=O)(=O)(O)O.O[C@@](CNC(C)(C)C)c1cc(CO)c(O)cc1,Z3071621361
O=C([O-])C1=NC(=O)NC(=O)N1.[K+],Z3066893590
[P@@](=O)(OC[C@@]1[C@@](O)[C@@](O)[C@](C#N)(c2n3N=CN=C(N)c3cc2)O1)(Oc1ccccc1)N[C@](C(=O)OCC(CC)CC)C,Z3064247938
S(CC1=C(C(=O)[O-])N2C(=O)[C@@](NC(=O)[C@](OC=O)c3ccccc3)[C@]2SC1)c1n(C)nnn1.[Na+],Z3041521791
O=C(OCC)COc1cc2OC(=O)C(CCN(CC)CC)=C(C)c2cc1.Cl,Z3041521404
O=C([O-])[C@@](C(=O)N[C@@]1C(=O)N2[C@@](C(=O)[O-])C(C)(C)S[C@]12)c1cscc1.[Na+].[Na+],Z3041519356
O=C(O)c1ccc(N2/C(=C\3/C(=O)C=CC=C/3)/N/C(=C/3\C(=O)C=CC=C\3)/N2)cc1,Z3041510169
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](N)c1ccc(O)cc1.O.O.O,Z3041510078
O=C(N[C@@]1C(=O)N2[C@@](C(=O)[O-])C(C)(C)S[C@]12)c1c(OCC)ccc2c1cccc2.[Na+],Z3025678941
O=C(OC)CCC(=O)CN.Cl,Z3015912776
S(=O)(=O)(N[C@](C(=O)N1[C@@](C(=O)O)C[C@](C)CC1)CCCNC(=N)N)c1c2NCC(C)Cc2ccc1.O,Z3014475009
S(=O)(=O)(O)O.O=C(O[C@]1[C@](O)(C(=O)OC)[C@@]2N(C)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4CCN4C[C@](O)(CC)C[C@@](C3)C4)cccc5)[C@@]32[C@@]2[C@@]1(CC)C=CCN2CC3)C,Z3014322079
O=C(O)C1(C)Oc2c(C)c(C)c(O)c(C)c2CC1,Z3013814504
O[C@](CO)CN1CCN(c2ccccc2)CC1,Z301111588
O=C([O-])[C@](NC(=O)c1ccc(CCc2c3C(=O)NC(N)=Nc3[nH]c2)cc1)CCC(=O)[O-].[Na+].[Na+],Z2953646389
S(=O)(=O)(O)C.O=C(N[C@@]1(C)C(=O)N2[C@@](O)(O1)[C@]1N(C(=O)[C@@]2Cc2ccccc2)CCC1)[C@]1CN(C)[C@]2[C@@](c3c4c([nH]cc4C2)ccc3)C1,Z2939838603
FC(F)(F)c1cc(C(F)(F)F)cc([C@](O[C@@]2[C@@](N(CC3=NC(=O)NN3)CCO2)c2ccc(F)cc2)C)c1,Z2937147473
